Cap waktu,Prodi,Gender,Hasil belajar akademik semester sebelumnya  (IPS). (0) IPS < 3.0 (1) 3.0 ≤ IPS ≤ 3.5 (2) IPS >  3.5,Mendapatkan nilai ujian yang rendah tidak membuat saya merasa bahwa saya gagal,Saya membuat keputusan sendiri untuk melanjutkan pendidikan ke perguruan tinggi,Saya tetap belajar bahkan ketika ada hal yang kurang penting mengalihkan perhatian saya,Saya senang dengan prodi yang saya ambil,Saya memiliki gagasan yang sangat jelas tentang keuntungan yang saya harapkan dari pendidikan saya,Saya melihat pendidikan sebagai sesuatu yang akan saya lakukan sepanjang hidup saya,Saya tahu bahwa saya bertanggung jawab atas pendidikan saya sendiri,Saya bertanggung jawab atas kualitas hidup saya,Saya siap menghadapi tantangan bahkan ketika saya tidak yakin bagaimana menghadapinya,Saya memiliki gagasan yang jelas tentang rencana karir terbaik untuk saya,"Saya tidak segan untuk meminta bantuan dari keluarga, teman, atau individu lain bila perlu",Saya secara aktif berusaha meningkatkan diri untuk keuntungan saya sendiri dan juga orang lain,Saya mampu mengatur waktu dan tuntutan hidup lainnya secara efektif,Saya yakin bahwa saya memiliki kemampuan dan keterampilan untuk melakukan pekerjaan perkuliahan dengan baik
2022/06/18 12:19:26 PM GMT+7,RN,Laki-laki,(2) IPS >  3.5,3,4,2,4,3,3,3,4,4,2,4,3,3,3
2022/06/18 12:29:29 PM GMT+7,TI,Perempuan,(2) IPS >  3.5,2,4,3,5,4,4,5,5,4,4,4,4,3,4
2022/06/18 12:43:14 PM GMT+7,TSD,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,5,5,5,5,5,5,5,5,5,5,5,5,2,5
2022/06/18 12:47:22 PM GMT+7,TI,Perempuan,(2) IPS >  3.5,3,5,2,5,4,3,4,5,4,4,4,4,3,4
2022/06/18 1:12:27 PM GMT+7,TI,Laki-laki,(2) IPS >  3.5,4,4,4,3,3,3,3,3,4,3,4,4,3,4
2022/06/18 1:40:46 PM GMT+7,TI,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,3,3,2,3,5,4,4,5,5,4,2,4,5,4
2022/06/18 1:48:04 PM GMT+7,RN,Perempuan,(0) IPS < 3.0,4,5,4,5,5,5,5,5,5,5,3,5,3,4
2022/06/18 1:51:47 PM GMT+7,TI,Perempuan,(2) IPS >  3.5,5,5,3,4,3,3,5,5,5,4,4,5,2,5
2022/06/18 2:16:19 PM GMT+7,TI,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,4,4,2,3,4,5,3,4,3,4,3,4,3,4
2022/06/18 4:21:14 PM GMT+7,TI,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,4,5,2,5,3,3,5,5,3,4,5,3,2,4
2022/06/18 4:26:15 PM GMT+7,TSD,Laki-laki,(2) IPS >  3.5,3,4,2,3,4,4,4,4,3,3,5,4,3,4
2022/06/18 4:28:53 PM GMT+7,TE,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,4,5,2,3,4,2,5,5,5,3,4,3,2,5
2022/06/18 4:45:15 PM GMT+7,TI,Perempuan,(2) IPS >  3.5,5,5,3,4,5,5,5,5,5,5,5,5,5,5
2022/06/18 5:30:39 PM GMT+7,TRKB,Laki-laki,(0) IPS < 3.0,5,5,3,5,5,3,5,5,5,5,5,5,5,5
2022/06/18 6:09:03 PM GMT+7,TSD,Perempuan,(2) IPS >  3.5,2,4,3,3,4,4,4,4,3,4,4,4,3,5
2022/06/18 6:24:36 PM GMT+7,RN,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,5,4,2,1,1,2,4,5,4,1,5,3,2,3
2022/06/18 6:26:31 PM GMT+7,TSD,Perempuan,(2) IPS >  3.5,3,5,4,4,4,3,5,5,4,4,5,5,4,4
2022/06/18 9:05:33 PM GMT+7,TI,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,5,5,3,4,4,5,5,5,4,4,5,5,3,5
2022/06/18 9:25:32 PM GMT+7,TI,Perempuan,(2) IPS >  3.5,2,3,2,3,4,2,4,4,4,3,3,4,3,4
2022/06/18 9:26:47 PM GMT+7,TSD,Perempuan,(0) IPS < 3.0,1,2,2,4,4,4,4,4,4,3,4,3,2,3
2022/06/18 11:10:22 PM GMT+7,TRKB,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,2,5,5,5,5,5,5,5,3,3,4,5,4,4
2022/06/19 5:52:12 AM GMT+7,TSD,Perempuan,(2) IPS >  3.5,4,1,3,1,3,3,2,5,5,5,4,5,5,5
2022/06/19 5:49:34 PM GMT+7,RN,Perempuan,(2) IPS >  3.5,3,5,4,4,5,5,5,5,4,4,4,5,3,4
2022/06/20 1:10:56 AM GMT+7,TE,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,4,5,3,2,3,4,4,4,3,3,3,4,4,4
2022/06/20 1:11:48 AM GMT+7,TE,Perempuan,(2) IPS >  3.5,3,3,3,3,3,4,4,4,2,2,5,5,5,5
2022/06/20 10:41:32 AM GMT+7,TE,Laki-laki,(2) IPS >  3.5,5,5,2,5,5,5,5,5,5,5,4,5,2,4
2022/06/20 10:49:56 AM GMT+7,TE,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,4,4,3,4,4,4,5,5,4,4,4,4,4,4
2022/06/20 10:52:10 AM GMT+7,TE,Laki-laki,(2) IPS >  3.5,1,5,3,5,5,5,5,5,4,5,4,5,4,5
2022/06/20 11:03:16 AM GMT+7,TI,Laki-laki,(2) IPS >  3.5,2,4,2,5,4,4,4,4,4,4,4,4,4,4
2022/06/20 11:04:55 AM GMT+7,TRKB,Laki-laki,(0) IPS < 3.0,3,5,2,5,4,3,3,5,5,5,5,5,2,3
2022/06/20 11:09:50 AM GMT+7,TI,Laki-laki,(2) IPS >  3.5,1,5,2,5,5,4,5,4,3,4,4,5,4,5
2022/06/20 11:28:07 AM GMT+7,TE,Laki-laki,(2) IPS >  3.5,5,5,5,4,4,5,4,5,5,5,4,4,5,4
2022/06/20 11:35:15 AM GMT+7,TI,Laki-laki,(2) IPS >  3.5,5,5,3,5,5,4,5,5,5,5,5,5,4,5
2022/06/20 11:49:38 AM GMT+7,TE,Laki-laki,(2) IPS >  3.5,4,5,3,5,5,3,5,5,5,5,5,5,4,5
2022/06/20 3:41:44 PM GMT+7,TRKB,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,4,5,3,4,4,4,5,5,5,4,4,5,3,3
2022/06/20 3:48:18 PM GMT+7,TRKB,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,2,3,2,3,3,2,3,4,2,2,3,4,4,2
2022/06/20 4:19:27 PM GMT+7,RN,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,4,5,5,5,5,5,5,5,4,4,5,5,3,4
2022/06/20 4:20:41 PM GMT+7,RN,Perempuan,(2) IPS >  3.5,4,4,4,3,5,5,5,4,4,4,5,5,5,4
2022/06/20 4:21:38 PM GMT+7,TE,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,3,5,5,5,5,3,3,5,5,5,5,4,4,5
2022/06/20 4:24:03 PM GMT+7,TRKB,Laki-laki,(0) IPS < 3.0,3,4,2,3,2,2,4,3,2,3,5,4,3,2
2022/06/20 4:26:02 PM GMT+7,TRKB,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,4,4,3,5,4,4,5,4,4,4,5,5,3,4
2022/06/20 4:26:50 PM GMT+7,TE,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,5,4,5,4,4,5,4,4,4,4,5,5,4,4
2022/06/20 4:41:18 PM GMT+7,TRKB,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,5,4,4,4,3,4,4,5,3,4,5,5,4,4
2022/06/20 4:42:31 PM GMT+7,TE,Laki-laki,(2) IPS >  3.5,2,4,4,5,5,5,5,5,5,4,5,5,5,4
2022/06/20 4:43:34 PM GMT+7,TRKB,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,3,3,4,5,5,4,5,5,4,4,5,5,3,3
2022/06/20 4:46:48 PM GMT+7,TRKB,Perempuan,(2) IPS >  3.5,4,4,4,5,5,5,5,5,4,5,5,5,4,5
2022/06/20 4:51:45 PM GMT+7,TE,Laki-laki,(0) IPS < 3.0,2,2,2,3,3,4,3,5,3,3,3,4,3,3
2022/06/20 4:54:17 PM GMT+7,TRKB,Perempuan,(2) IPS >  3.5,5,5,5,5,5,5,4,4,3,5,4,5,5,4
2022/06/20 5:10:55 PM GMT+7,TRKB,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,3,4,4,3,4,4,4,4,3,4,5,5,4,4
2022/06/20 5:11:43 PM GMT+7,TRKB,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,3,4,4,5,4,4,4,4,3,4,4,5,3,4
2022/06/20 5:12:57 PM GMT+7,TRKB,Perempuan,(0) IPS < 3.0,4,4,4,5,4,4,5,5,4,4,4,4,4,4
2022/06/20 5:27:50 PM GMT+7,RN,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,2,5,3,3,3,4,4,4,4,4,4,4,3,4
2022/06/20 5:28:37 PM GMT+7,RN,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,2,4,4,5,4,4,5,5,4,4,4,5,5,4
2022/06/20 5:29:13 PM GMT+7,RN,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,2,4,4,5,4,5,4,4,3,4,5,5,4,4
2022/06/20 5:31:33 PM GMT+7,RN,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,4,4,2,3,4,4,5,5,3,4,5,5,2,3
2022/06/20 5:33:26 PM GMT+7,RN,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,4,5,4,3,4,4,5,4,4,5,5,5,4,4
2022/06/20 5:35:21 PM GMT+7,RN,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,4,4,4,5,4,5,4,4,3,3,3,4,3,4
2022/06/20 5:37:59 PM GMT+7,RN,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,2,4,4,3,3,4,4,3,2,3,4,4,4,4
2022/06/20 5:38:57 PM GMT+7,TE,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,4,4,3,5,5,4,5,5,4,4,5,5,5,3
2022/06/20 5:39:39 PM GMT+7,TE,Perempuan,(0) IPS < 3.0,4,4,4,5,3,4,4,4,4,4,5,4,3,4
2022/06/20 5:40:13 PM GMT+7,TE,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,2,4,5,5,4,4,4,4,4,4,5,4,5,4
2022/06/20 5:42:37 PM GMT+7,TE,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,3,4,4,5,4,4,4,5,4,5,5,5,4,4
2022/06/20 5:44:02 PM GMT+7,TE,Perempuan,(1) 3.0 ≤ IPS ≤ 3.5,4,4,4,5,3,5,4,4,4,4,5,5,5,4
2022/06/20 5:44:03 PM GMT+7,TRKB,Laki-laki,(2) IPS >  3.5,2,5,5,5,5,5,5,5,5,5,3,5,5,5
2022/06/20 5:44:55 PM GMT+7,TE,Laki-laki,(1) 3.0 ≤ IPS ≤ 3.5,5,4,4,5,4,4,5,4,2,4,5,4,4,3
2022/06/20 6:05:19 PM GMT+7,TI,Perempuan,(2) IPS >  3.5,4,4,4,4,3,4,3,4,4,4,5,4,5,5
